ekman_label,nrclex_pred,count
joy,anger,194
joy,surprise,153
joy,sadness,94
anger,surprise,82
anger,joy,73
anger,sadness,67
surprise,anger,62
surprise,joy,59
anger,disgust,51
sadness,anger,48
sadness,surprise,34
sadness,joy,31
joy,fear,30
surprise,sadness,26
joy,disgust,24
anger,fear,24
disgust,anger,18
sadness,fear,13
sadness,disgust,12
surprise,disgust,11
fear,anger,10
fear,sadness,10
disgust,joy,9
surprise,fear,8
disgust,surprise,6
fear,disgust,5
fear,joy,5
disgust,sadness,4
disgust,fear,3
fear,surprise,3
